Day,modern cre8ve - Previous Clicks,modern cre8ve - Current Clicks,modern cre8ve - Previous Impressions,modern cre8ve - Current Impressions,modern cre8ve - Previous CTR,modern cre8ve - Current CTR,modern cre8ve - Previous Position,modern cre8ve - Current Position,sophisticated custom furniture pieces - Previous Clicks,sophisticated custom furniture pieces - Current Clicks,sophisticated custom furniture pieces - Previous Impressions,sophisticated custom furniture pieces - Current Impressions,sophisticated custom furniture pieces - Previous CTR,sophisticated custom furniture pieces - Current CTR,sophisticated custom furniture pieces - Previous Position,sophisticated custom furniture pieces - Current Position,moderncre8ve - Previous Clicks,moderncre8ve - Current Clicks,moderncre8ve - Previous Impressions,moderncre8ve - Current Impressions,moderncre8ve - Previous CTR,moderncre8ve - Current CTR,moderncre8ve - Previous Position,moderncre8ve - Current Position,modern custom furniture designs - Previous Clicks,modern custom furniture designs - Current Clicks,modern custom furniture designs - Previous Impressions,modern custom furniture designs - Current Impressions,modern custom furniture designs - Previous CTR,modern custom furniture designs - Current CTR,modern custom furniture designs - Previous Position,modern custom furniture designs - Current Position,scandinavian furniture - Previous Clicks,scandinavian furniture - Current Clicks,scandinavian furniture - Previous Impressions,scandinavian furniture - Current Impressions,scandinavian furniture - Previous CTR,scandinavian furniture - Current CTR,scandinavian furniture - Previous Position,scandinavian furniture - Current Position
2026-01-08,,0,,1,,0.00%,,1.00,,,,,,,,,2,,4,,50.00%,,1.00,,,,,,,,,,0,0,6,96,0.00%,0.00%,56.00,15.60
2026-01-09,,0,,5,,0.00%,,18.20,1,,2,,50.00%,,2.00,,,1,,1,,100.00%,,1.00,0,,2,,0.00%,,2.00,,0,0,13,104,0.00%,0.00%,60.92,23.71
2026-01-10,0,3,2,4,0.00%,75.00%,1.00,1.00,1,,1,,100.00%,,2.00,,0,1,5,3,0.00%,33.33%,1.00,1.00,0,,3,,0.00%,,2.33,,0,0,10,109,0.00%,0.00%,58.60,36.24
2026-01-11,2,2,2,4,100.00%,50.00%,1.00,1.00,0,,2,,0.00%,,2.00,,0,0,4,1,0.00%,0.00%,1.75,1.00,0,,1,,0.00%,,1.00,,0,1,8,86,0.00%,1.16%,61.00,32.51
2026-01-12,,,,,,,,,0,,2,,0.00%,,1.50,,0,,3,,0.00%,,1.00,,0,,1,,0.00%,,3.00,,0,3,7,78,0.00%,3.85%,53.57,28.36
2026-01-13,,1,,1,,100.00%,,1.00,0,,2,,0.00%,,1.00,,1,,2,,50.00%,,1.00,,,,,,,,,,0,0,10,94,0.00%,0.00%,51.40,40.46
2026-01-14,2,4,2,5,100.00%,80.00%,1.00,1.00,,,,,,,,,3,,3,,100.00%,,1.00,,,,,,,,,,0,2,4,29,0.00%,6.90%,49.00,17.79
2026-01-15,,1,,1,,100.00%,,1.00,0,,2,,0.00%,,3.00,,,,,,,,,,0,,2,,0.00%,,1.00,,0,0,6,54,0.00%,0.00%,44.67,17.07
2026-01-16,0,5,1,13,0.00%,38.46%,1.00,12.46,0,,1,,0.00%,,1.00,,1,1,1,1,100.00%,100.00%,1.00,1.00,0,,2,,0.00%,,3.50,,0,1,9,56,0.00%,1.79%,51.11,17.59
2026-01-17,0,2,1,3,0.00%,66.67%,1.00,1.00,1,,1,,100.00%,,6.00,,,0,,11,,0.00%,,31.45,0,,1,,0.00%,,3.00,,0,0,11,88,0.00%,0.00%,45.91,22.45
2026-01-18,1,0,1,1,100.00%,0.00%,1.00,1.00,0,,3,,0.00%,,1.00,,0,1,1,10,0.00%,10.00%,1.00,9.90,0,,2,,0.00%,,2.00,,0,1,17,66,0.00%,1.52%,38.00,20.88
2026-01-19,0,1,1,1,0.00%,100.00%,1.00,1.00,0,,1,,0.00%,,1.00,,2,1,3,3,66.67%,33.33%,1.00,7.33,,,,,,,,,0,1,25,72,0.00%,1.39%,37.44,17.88
2026-01-20,0,1,1,1,0.00%,100.00%,1.00,1.00,0,,2,,0.00%,,2.50,,1,1,3,4,33.33%,25.00%,1.00,1.50,0,,5,,0.00%,,2.20,,0,0,27,66,0.00%,0.00%,47.56,14.59
2026-01-21,,1,,2,,50.00%,,1.00,1,,2,,50.00%,,2.50,,1,1,2,2,50.00%,50.00%,1.00,1.00,0,,1,,0.00%,,2.00,,0,2,12,59,0.00%,3.39%,62.33,16.63
2026-01-22,,1,,1,,100.00%,,1.00,0,,4,,0.00%,,2.00,,1,,3,,33.33%,,1.00,,,,,,,,,,0,1,10,36,0.00%,2.78%,57.40,14.11
2026-01-23,,1,,13,,7.69%,,25.23,,,,,,,,,2,0,3,2,66.67%,0.00%,1.00,1.00,,,,,,,,,0,0,6,87,0.00%,0.00%,57.00,15.28
2026-01-24,1,2,3,2,33.33%,100.00%,1.00,1.00,,,,,,,,,1,1,2,10,50.00%,10.00%,1.00,34.80,,,,,,,,,0,1,15,55,0.00%,1.82%,57.07,19.73
2026-01-25,0,2,1,2,0.00%,100.00%,1.00,1.00,,,,,,,,,2,2,2,4,100.00%,50.00%,1.00,1.00,,,,,,,,,0,0,33,46,0.00%,0.00%,56.33,19.80
2026-01-26,,,,,,,,,,,,,,,,,2,1,3,2,66.67%,50.00%,1.00,1.00,,,,,,,,,0,0,17,96,0.00%,0.00%,55.41,29.34
2026-01-27,1,1,2,2,50.00%,50.00%,1.00,1.00,,,,,,,,,0,3,1,3,0.00%,100.00%,1.00,1.00,,,,,,,,,0,0,11,67,0.00%,0.00%,60.64,16.42
2026-01-28,0,2,1,2,0.00%,100.00%,1.00,1.00,,,,,,,,,0,0,1,1,0.00%,0.00%,1.00,1.00,,,,,,,,,0,0,9,51,0.00%,0.00%,55.22,17.37
2026-01-29,,1,,4,,25.00%,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,0,0,9,94,0.00%,0.00%,66.89,14.91
2026-01-30,0,1,1,8,0.00%,12.50%,1.00,9.88,,,,,,,,,2,1,3,5,66.67%,20.00%,1.00,12.60,0,,1,,0.00%,,3.00,,0,0,11,118,0.00%,0.00%,65.00,17.46
2026-01-31,,1,,1,,100.00%,,1.00,,,,,,,,,3,1,6,9,50.00%,11.11%,1.00,33.56,,,,,,,,,0,0,12,135,0.00%,0.00%,69.00,13.49
2026-02-01,,1,,3,,33.33%,,1.00,,,,,,,,,1,1,4,2,25.00%,50.00%,1.00,1.00,,,,,,,,,0,0,13,71,0.00%,0.00%,60.62,13.25
2026-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,13,85,0.00%,0.00%,69.38,19.12
2026-02-03,,0,,1,,0.00%,,1.00,,,,,,,,,1,0,1,1,100.00%,0.00%,1.00,1.00,,,,,,,,,0,0,18,79,0.00%,0.00%,67.61,17.53
2026-02-04,,2,,3,,66.67%,,1.00,,,,,,,,,0,1,1,1,0.00%,100.00%,1.00,1.00,,,,,,,,,0,0,18,74,0.00%,0.00%,64.61,16.74
2026-02-05,0,,1,,0.00%,,1.00,,,,,,,,,,0,1,2,1,0.00%,100.00%,1.00,1.00,,,,,,,,,1,0,18,64,5.56%,0.00%,65.39,18.72
2026-02-06,0,0,1,10,0.00%,0.00%,1.00,24.70,,,,,,,,,1,,1,,100.00%,,1.00,,,,,,,,,,0,0,10,66,0.00%,0.00%,65.40,16.95
2026-02-07,1,,1,,100.00%,,1.00,,,,,,,,,,0,0,3,9,0.00%,0.00%,1.00,12.00,,,,,,,,,0,1,15,90,0.00%,1.11%,60.40,20.30
2026-02-08,0,,1,,0.00%,,1.00,,,,,,,,,,0,0,1,2,0.00%,0.00%,1.00,1.00,,,,,,,,,0,0,21,62,0.00%,0.00%,60.10,21.11
2026-02-09,0,1,2,2,0.00%,50.00%,1.00,1.00,,,,,,,,,1,2,2,4,50.00%,50.00%,1.00,1.00,,,,,,,,,0,1,16,68,0.00%,1.47%,58.81,22.12
2026-02-10,1,1,2,3,50.00%,33.33%,1.00,1.00,,,,,,,,,1,,1,,100.00%,,1.00,,,,,,,,,,0,0,11,23,0.00%,0.00%,64.64,30.87
2026-02-11,0,1,1,1,0.00%,100.00%,1.00,1.00,,,,,,,,,0,,1,,0.00%,,1.00,,,,,,,,,,0,0,8,16,0.00%,0.00%,63.38,24.63
2026-02-12,1,1,1,2,100.00%,50.00%,1.00,1.00,,,,,,,,,,0,,1,,0.00%,,1.00,,,,,,,,,0,0,9,18,0.00%,0.00%,67.00,27.22
2026-02-13,,1,,6,,16.67%,,3.67,,,,,,,,,0,5,1,5,0.00%,100.00%,1.00,1.00,,,,,,,,,0,0,10,38,0.00%,0.00%,63.70,22.18
2026-02-14,,4,,7,,57.14%,,4.43,,,,,,,,,1,6,3,12,33.33%,50.00%,1.00,1.00,,,,,,,,,0,0,13,119,0.00%,0.00%,59.00,14.23
2026-02-15,,3,,4,,75.00%,,1.00,,,,,,,,,,2,,6,,33.33%,,1.00,,,,,,,,,0,0,21,81,0.00%,0.00%,60.05,15.12
2026-02-16,,3,,5,,60.00%,,1.00,,,,,,,,,,0,,3,,0.00%,,1.00,,,,,,,,,0,0,21,87,0.00%,0.00%,58.67,15.29
2026-02-17,0,9,1,10,0.00%,90.00%,1.00,1.00,,,,,,,,,1,2,1,2,100.00%,100.00%,1.00,1.00,,,,,,,,,0,1,9,93,0.00%,1.08%,59.78,14.38
2026-02-18,0,3,1,3,0.00%,100.00%,1.00,1.00,,,,,,,,,0,0,2,2,0.00%,0.00%,1.00,1.00,,,,,,,,,0,0,10,26,0.00%,0.00%,59.20,15.77
2026-02-19,,1,,2,,50.00%,,1.00,,,,,,,,,,1,,2,,50.00%,,1.00,,,,,,,,,,0,,25,,0.00%,,19.52
2026-02-20,,2,,4,,50.00%,,1.00,,,,,,,,,,2,,4,,50.00%,,1.00,,,,,,,,,,0,,45,,0.00%,,21.42
2026-02-21,,0,,1,,0.00%,,11.00,,,,,,,,,,1,,5,,20.00%,,1.00,,,,,,,,,,1,,119,,0.84%,,14.43
2026-02-22,,4,,4,,100.00%,,1.00,,,,,,,,,1,,2,,50.00%,,1.00,,0,,1,,0.00%,,2.00,,0,0,16,74,0.00%,0.00%,61.06,13.16
2026-02-23,,,,,,,,,,,,,,,,,,2,,2,,100.00%,,1.00,,,,,,,,,,0,,87,,0.00%,,14.29
2026-02-24,,1,,1,,100.00%,,1.00,0,,1,,0.00%,,1.00,,,1,,1,,100.00%,,1.00,,,,,,,,,0,2,11,94,0.00%,2.13%,67.09,11.85
2026-02-25,,3,,4,,75.00%,,1.00,,,,,,,,,1,1,2,1,50.00%,100.00%,1.00,1.00,,,,,,,,,0,0,9,67,0.00%,0.00%,74.33,11.58
2026-02-26,,3,,3,,100.00%,,1.00,0,,1,,0.00%,,1.00,,,,,,,,,,,,,,,,,,0,0,7,88,0.00%,0.00%,77.29,13.75
