page_path,total_clicks,total_impressions,avg_position,avg_ctr,unique_queries,top_query,page_type,handle,sessions,engaged_sessions,bounce_rate,avg_session_duration,purchase_revenue,transactions,new_users,revenue_per_click,click_to_session_ratio,date_start,date_end
/collections/custom-made-furniture,1,536,37.1,0.0015,66,personalized furniture,collection,custom-made-furniture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2026-03-01,2026-03-08
/collections/mid-century-modern-coffee-tables,1,360,36.5,0.0044,79,mid century modern coffee table solid wood,collection,mid-century-modern-coffee-tables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2026-03-01,2026-03-08
/products/sputnik-mid-century-dining-set,1,8,12.2,0.1111,2,sputnik furniture,product,sputnik-mid-century-dining-set,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2026-03-01,2026-03-08
/pages/custom-kitchen-cabinets-cleveland,1,424,35.7,0.0039,65,cleveland custom cabinets,page,custom-kitchen-cabinets-cleveland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2026-03-01,2026-03-08
/products/van-aiken-boho-bed-fram?variant=45605065752875,1,151,19.8,0.0083,4,boho bedframe,product,van-aiken-boho-bed-fram?variant=45605065752875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2026-03-01,2026-03-08
/blogs/mid-century-modern-scandi-japandi-design-blog/scandinavian-modern-design,1,267,18.4,0.0102,54,scandinavian modern,blog,scandinavian-modern-design,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2026-03-01,2026-03-08
/collections/japandi,1,207,41.7,0.0112,50,japandi table and chairs,collection,japandi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2026-03-01,2026-03-08
/products/upton-handmade-scandinavian-inspired-bed-frame,1,301,19.7,0.0024,50,scandinavian bed frame king,product,upton-handmade-scandinavian-inspired-bed-frame,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2026-03-01,2026-03-08
/blogs/mid-century-modern-scandi-japandi-design-blog/discover-the-pinnacle-of-handcrafted-furniture-top-10-furniture-makers-in-the-usa-2023-2024,0,152,23.9,0.0,58,american crafted furniture,blog,discover-the-pinnacle-of-handcrafted-furniture-top-10-furniture-makers-in-the-usa-2023-2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-01,2026-03-08
/blogs/mid-century-modern-scandi-japandi-design-blog/discovering-japandi-style-artful-fusion-of-japanese-tranquility-and-scandinavian-simplicity,0,33,24.6,0.0,11,japandi design principles,blog,discovering-japandi-style-artful-fusion-of-japanese-tranquility-and-scandinavian-simplicity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-01,2026-03-08
/blogs/mid-century-modern-scandi-japandi-design-blog/japandi-style-90-things,0,101,5.2,0.0,50,best minimalist furniture styles,blog,japandi-style-90-things,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-01,2026-03-08
/blogs/mid-century-modern-scandi-japandi-design-blog/oval-dining-tables-elegance-functionality-guide,0,15,16.5,0.0,6,best oval dining table,blog,oval-dining-tables-elegance-functionality-guide,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-01,2026-03-08
/blogs/mid-century-modern-scandi-japandi-design-blog/mid-century-modern-coffee-table-the-perfect-blend-of-style-and-functionality,0,19,23.4,0.0,1,what are mid century coffee tables,blog,mid-century-modern-coffee-table-the-perfect-blend-of-style-and-functionality,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-01,2026-03-08
/blogs/mid-century-modern-scandi-japandi-design-blog/solid-wood-furniture-care-guide,0,32,36.7,0.0,9,can i use clorox wipes on wood furniture,blog,solid-wood-furniture-care-guide,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-01,2026-03-08
/blogs/mid-century-modern-scandi-japandi-design-blog/tagged/custom-furniture,0,10,51.5,0.0,6,cleveland modern furniture,blog,custom-furniture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-01,2026-03-08
/cdn/shop/files/IMG_2320.jpg?v=1728934300&width=1946,0,2,20.0,0.0,2,dining table,other,IMG_2320.jpg?v=1728934300&width=1946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-01,2026-03-08
/cdn/shop/files/2sqSMlarge.jpg,0,1,18.0,0.0,1,dining table with chairs,other,2sqSMlarge.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-01,2026-03-08
/blogs/mid-century-modern-scandi-japandi-design-blog/ultimate-guide-to-mid-century-modern-furniture-and-design,0,35,26.7,0.0,17,iconic mid-century products,blog,ultimate-guide-to-mid-century-modern-furniture-and-design,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-01,2026-03-08
/blogs/mid-century-modern-scandi-japandi-design-blog/top-places-to-buy-modern-midcentury-and-scandinavian-danish-furniture-cleveland-ohio,0,52,21.7,0.0,22,cleveland modern furniture,blog,top-places-to-buy-modern-midcentury-and-scandinavian-danish-furniture-cleveland-ohio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-01,2026-03-08
/blogs/mid-century-modern-scandi-japandi-design-blog/title-top-5-modern-mid-century-furniture-companies-you-should-know-2022-moderncre8ve,0,181,14.1,0.0,51,american made mid century modern furniture,blog,title-top-5-modern-mid-century-furniture-companies-you-should-know-2022-moderncre8ve,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-01,2026-03-08
/blogs/mid-century-modern-scandi-japandi-design-blog/the-ultimate-guide-to-cleaning-and-caring-for-your-handmade-solid-wood-furniture,0,154,22.3,0.0,63,best varnish for table top,blog,the-ultimate-guide-to-cleaning-and-caring-for-your-handmade-solid-wood-furniture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-01,2026-03-08
/blogs/mid-century-modern-scandi-japandi-design-blog/tagged/japandi-bedroom,0,6,14.2,0.0,2,mid century japandi,blog,japandi-bedroom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-01,2026-03-08
/blogs/mid-century-modern-scandi-japandi-design-blog/tagged/interior-design,0,3,17.7,0.0,2,japandi mid century modern bedroom,blog,interior-design,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-01,2026-03-08
/collections/best-sellers,0,19,54.4,0.0,8,awesome modern furniture,collection,best-sellers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-01,2026-03-08
/collections/all-products?constraint=custom,0,2,39.5,0.0,2,moderncre8ve,collection,all-products?constraint=custom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-01,2026-03-08
/collections,0,3,18.3,0.0,3,furniture stores in northeast ohio,other,collections,1.0,0.0,1.0,0.5,0.0,0.0,1.0,0.0,0.0,2026-03-01,2026-03-08
/collections/custom-made-furniture?constraint=danish-modern-table,0,3,81.3,0.0,3,contemporary danish furniture,collection,custom-made-furniture?constraint=danish-modern-table,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-01,2026-03-08
/collections/custom-made-furniture?constraint=walnut-dining-table,0,2,64.0,0.0,1,custom made walnut furniture,collection,custom-made-furniture?constraint=walnut-dining-table,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-01,2026-03-08
/collections/all,0,51,18.1,0.0,15,contemporary bespoke furniture,collection,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-01,2026-03-08
/cdn/shop/files/IMG_2483.jpg?v=1729267837&width=1946,0,3,53.7,0.0,3,how do i choose furniture for a small dining area,other,IMG_2483.jpg?v=1729267837&width=1946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-01,2026-03-08
/cdn/shop/files/packshot_875ba75b-cee6-4cf3-a989-50d64a5e8049.jpg?v=1731524978&width=1946,0,1,22.0,0.0,1,modern dining table styles,other,packshot_875ba75b-cee6-4cf3-a989-50d64a5e8049.jpg?v=1731524978&width=1946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-01,2026-03-08
/collections/dining,0,50,27.6,0.0,12,dining tables mid century modern,collection,dining,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-01,2026-03-08
/collections/handmade-modern-bed-frames,0,3,13.0,0.0,2,handcrafted bed frames,collection,handmade-modern-bed-frames,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-01,2026-03-08
/collections/custom-made-furniture?constraint=mid-century-modern-furniture,0,4,28.8,0.0,3,custom made modern furniture,collection,custom-made-furniture?constraint=mid-century-modern-furniture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-01,2026-03-08
/collections/living,0,3,1.0,0.0,3,modern furniture,collection,living,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-01,2026-03-08
/collections/mid-century-modern,0,67,13.1,0.0,24,amish furniture,collection,mid-century-modern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-01,2026-03-08
/collections/mid-century-Modern-credenza?constraint=,0,17,51.2,0.0,7,credenza modern,collection,mid-century-Modern-credenza?constraint=,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-01,2026-03-08
/collections/mid-century-modern-credenza,0,187,47.0,0.0,42,contemporary credenza,collection,mid-century-modern-credenza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-01,2026-03-08
/collections/living/credenza,0,5,12.2,0.0,1,japandi credenza,collection,credenza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-01,2026-03-08
/collections/mid-century-modern-credenza?constraint=japandi-design,0,4,25.2,0.0,3,japandi credenza,collection,mid-century-modern-credenza?constraint=japandi-design,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-01,2026-03-08
/collections/mid-century-modern-dining-tables?constraint=danish-modern-table,0,84,20.5,0.0,40,danish dining,collection,mid-century-modern-dining-tables?constraint=danish-modern-table,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-01,2026-03-08
/blogs/mid-century-modern-scandi-japandi-design-blog/japandi-bedroom,0,228,19.7,0.0,28,bedroom design,blog,japandi-bedroom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-01,2026-03-08
/EN-CA/articles/best-scandinavian-furniture-online,0,33,22.8,0.0,14,affordable modern scandinavian furniture retailers,other,best-scandinavian-furniture-online,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-01,2026-03-08
/blogs/mid-century-modern-scandi-japandi-design-blog/7-must-have-features-extendable-dining-table,0,7,28.5,0.0,4,how do extendable dining tables work and who should consider them?,blog,7-must-have-features-extendable-dining-table,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-01,2026-03-08
/blogs/mid-century-modern-scandi-japandi-design-blog/comparing-scandinavian-furniture-and-mid-century-modern-furniture,0,102,11.6,0.0,23,japandi vs mid century modern,blog,comparing-scandinavian-furniture-and-mid-century-modern-furniture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-01,2026-03-08
/blogs/mid-century-modern-scandi-japandi-design-blog,0,1,47.0,0.0,1,scandinavian furniture cleveland,blog,mid-century-modern-scandi-japandi-design-blog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-01,2026-03-08
/EN-CA/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online,0,19,40.3,0.0,6,best scandinavian furniture brands,blog,best-scandinavian-furniture-online,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-01,2026-03-08
/en-au/collections/mid-century-modern-dining-tables,0,2,30.5,0.0,2,mid century dining tables,collection,mid-century-modern-dining-tables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-01,2026-03-08
/en-au/collections/custom-made-expandable-dining-tables,0,1,51.0,0.0,1,modern expandable dining table,collection,custom-made-expandable-dining-tables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-01,2026-03-08
/collections/oval-dining-tables,0,2,33.5,0.0,1,modern oval dining table,collection,oval-dining-tables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-01,2026-03-08
/collections/modern-wood-coffee-tables,0,74,57.3,0.0,38,coffee table contemporary wood,collection,modern-wood-coffee-tables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-01,2026-03-08
/collections/modern-dining-chairs,0,247,58.9,0.0,131,american made dining chairs,collection,modern-dining-chairs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-01,2026-03-08
/collections/modern-scandinavian-furniture,0,4,32.0,0.0,4,fsc certified scandinavian furniture,collection,modern-scandinavian-furniture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-01,2026-03-08
/en-ca/collections/scandinavian-design-furniture,0,1,50.0,0.0,1,scandinavian furniture canada,collection,scandinavian-design-furniture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-01,2026-03-08
/en-ca/collections/custom-made-expandable-dining-tables,0,2,59.0,0.0,2,extendable dining table modern,collection,custom-made-expandable-dining-tables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-01,2026-03-08
/pages/contact-and-inquiry,0,17,40.6,0.0,8,cleveland modern furniture,page,contact-and-inquiry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-01,2026-03-08
/pages/ordering-policies,0,4,6.3,0.0,2,modern cre8ve,page,ordering-policies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-01,2026-03-08
/pages/shipping-policy-and-customer-responsibilities,0,2,1.0,0.0,2,how are sofas delivered,page,shipping-policy-and-customer-responsibilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-01,2026-03-08
/products/bosco-walnut-mid-century-modern-bed-handmade,0,107,23.6,0.0,45,bed design modern,product,bosco-walnut-mid-century-modern-bed-handmade,1.0,1.0,0.0,37.2,0.0,0.0,0.0,0.0,0.0,2026-03-01,2026-03-08
/en-fr/collections/mid-century-modern-dining-tables,0,1,19.0,0.0,1,mid century table,collection,mid-century-modern-dining-tables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-01,2026-03-08
/pages/about-us,0,10,17.3,0.0,2,modern cre8tive,page,about-us,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2026-03-01,2026-03-08
/pages/about-us-1,0,29,26.2,0.0,4,cleveland modern furniture,page,about-us-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-01,2026-03-08
/en-ca/collections/mid-century-modern-dining-tables,0,33,24.9,0.0,14,mid century dining set,collection,mid-century-modern-dining-tables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-01,2026-03-08
/products/extendable-dining-table-compagno?variant=45548378882347,0,1,13.0,0.0,1,canadel dining table,product,extendable-dining-table-compagno?variant=45548378882347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-01,2026-03-08
/products/lareauxs-furniture-wax,0,90,31.5,0.0,26,antique furniture wax,product,lareauxs-furniture-wax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-01,2026-03-08
/products/mid-century-modern-extendable-dining-table-santa-monica,0,365,19.1,0.0,63,"""76"" ""mid century extendable dining table"" ""us"" ""2"" ""200"" ""1.20"" """" ""mid century dining table"" ""2023-08-09 04:11:26"" ""shopping results",product,mid-century-modern-extendable-dining-table-santa-monica,1.0,1.0,0.0,33.3,0.0,0.0,0.0,0.0,0.0,2026-03-01,2026-03-08
/products/mid-century-dresser-larchmere-tallboy,0,2,25.0,0.0,2,mcm tallboy dresser,product,mid-century-dresser-larchmere-tallboy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-01,2026-03-08
/products/mid-century-modern-extendable-dining-table-santa-monica?variant=32301061800038&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&com_cvv=8fb3d522dc163aeadb66e08cd7450cbbdddc64c6cf2e8891f6d48747c6d56d2c,0,1,1.0,0.0,1,walnut dining table mid century modern,product,mid-century-modern-extendable-dining-table-santa-monica?variant=32301061800038&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&com_cvv=8fb3d522dc163aeadb66e08cd7450cbbdddc64c6cf2e8891f6d48747c6d56d2c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-01,2026-03-08
/products/mid-century-modern-extendable-dining-table-santa-monica?variant=32301061898342,0,17,12.9,0.0,8,elliptical repair santa monica,product,mid-century-modern-extendable-dining-table-santa-monica?variant=32301061898342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-01,2026-03-08
/products/mid-century-modern-extendable-dining-table-santa-monica?variant=48893251551531,0,5,7.6,0.0,2,mcm dining table extendable,product,mid-century-modern-extendable-dining-table-santa-monica?variant=48893251551531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-01,2026-03-08
/products/mid-century-modern-extendable-dining-table-santa-monica?variant=32301061800038&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,0,1,1.0,0.0,1,walnut dining table mid century modern,product,mid-century-modern-extendable-dining-table-santa-monica?variant=32301061800038&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-01,2026-03-08
/products/mid-century-modern-walnut-nightstand,0,1670,24.8,0.0,30,contemporary walnut nightstand,product,mid-century-modern-walnut-nightstand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-01,2026-03-08
/products/minimalist-bed-frame-ohio,0,87,18.1,0.0,26,bed frames minimalist,product,minimalist-bed-frame-ohio,1.0,1.0,0.0,42.4,0.0,0.0,0.0,0.0,0.0,2026-03-01,2026-03-08
/products/minimalist-bed-frame-ohio?variant=45800091418923,0,1,2.0,0.0,1,modern minimal bed,product,minimalist-bed-frame-ohio?variant=45800091418923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-01,2026-03-08
/products/minimalist-bed-frame-ohio?variant=45800091484459,0,1,132.0,0.0,1,minimalist bed base,product,minimalist-bed-frame-ohio?variant=45800091484459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-01,2026-03-08
/products/bosco-walnut-mid-century-modern-bed-handmade?variant=39388366340198,0,3,25.0,0.0,3,bed frame design,product,bosco-walnut-mid-century-modern-bed-handmade?variant=39388366340198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-01,2026-03-08
/products/bossa-nova-modern-dining-table-small-handmade-ohio,0,4,1.0,0.0,1,modern dining table,product,bossa-nova-modern-dining-table-small-handmade-ohio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-01,2026-03-08
/products/copy-of-santa-monica-bench-modern-walnut-bench?variant=46772169146667,0,2,2.0,0.0,1,modern walnut bench,product,copy-of-santa-monica-bench-modern-walnut-bench?variant=46772169146667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-01,2026-03-08
/en-cn/collections/mid-century-modern-dining-tables,0,1,5.0,0.0,1,solid wood dining table mid century modern,collection,mid-century-modern-dining-tables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-01,2026-03-08
/products/payne-oval-extendable-dining-table-for-6-8?variant=47244556501291,0,4,10.0,0.0,4,oval dining table for 6 extendable,product,payne-oval-extendable-dining-table-for-6-8?variant=47244556501291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-01,2026-03-08
/products/payne-oval-extendable-dining-table-for-6-8,0,147,23.5,0.0,57,6 in 1 extendable dining table,product,payne-oval-extendable-dining-table-for-6-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-01,2026-03-08
/products/modern-round-extendable-dining-table-ohio?variant=48856305369387,0,2,45.5,0.0,2,how do i choose furniture for a small dining area,product,modern-round-extendable-dining-table-ohio?variant=48856305369387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-01,2026-03-08
/products/modern-round-extendable-dining-table-ohio?variant=45548374229291,0,1,70.0,0.0,1,what are some space-saving furniture options for apartments?,product,modern-round-extendable-dining-table-ohio?variant=45548374229291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-01,2026-03-08
/products/scandinavian-danish-modern-dining-table,0,2206,9.9,0.0,177,aesthetic dining table,product,scandinavian-danish-modern-dining-table,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-01,2026-03-08
/products/payne-oval-extendable-dining-table-for-6-8?variant=47244556566827,0,1,3.0,0.0,1,oval extendable dining table 6-8,product,payne-oval-extendable-dining-table-for-6-8?variant=47244556566827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-01,2026-03-08
/products/santa-monica-mixed,0,2,30.5,0.0,1,mid century modern santa,product,santa-monica-mixed,1.0,1.0,0.0,35.7,0.0,0.0,0.0,0.0,0.0,2026-03-01,2026-03-08
/products/round-walnut-dining-table,0,22,27.7,0.0,8,mila dining table,product,round-walnut-dining-table,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-01,2026-03-08
/products/scandinavian-dining-table-extendable-dining-table?variant=45311395954987,0,5,3.2,0.0,2,extendable scandinavian dining table,product,scandinavian-dining-table-extendable-dining-table?variant=45311395954987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-01,2026-03-08
/products/scandinavian-dining-table-extendable-dining-table?variant=45311395987755,0,2,12.0,0.0,1,customer reviews of minimalist scandinavian dining tables,product,scandinavian-dining-table-extendable-dining-table?variant=45311395987755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-01,2026-03-08
/products/scandinavian-dining-table-extendable-dining-table?variant=45311396184363,0,4,3.2,0.0,2,extendable dining table scandinavian,product,scandinavian-dining-table-extendable-dining-table?variant=45311396184363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-01,2026-03-08
/products/scandinavian-dining-table-extendable-dining-table?variant=45311396217131,0,4,4.5,0.0,1,scandinavian dining table extendable,product,scandinavian-dining-table-extendable-dining-table?variant=45311396217131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-01,2026-03-08
/products/scandinavian-dining-table-extendable-dining-table?variant=45311396446507,0,7,9.2,0.0,2,customer reviews of minimalist scandinavian dining tables,product,scandinavian-dining-table-extendable-dining-table?variant=45311396446507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-01,2026-03-08
/products/scandinavian-danish-modern-dining-table?variant=47186218516779&country=US&currency=USD,0,10,6.0,0.0,5,danish design dining table,product,scandinavian-danish-modern-dining-table?variant=47186218516779&country=US&currency=USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-01,2026-03-08
/products/scandinavian-dining-table-extendable-dining-table?variant=45311395725611,0,7,6.5,0.0,3,extendable dining room table,product,scandinavian-dining-table-extendable-dining-table?variant=45311395725611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-01,2026-03-08
/products/scandinavian-dining-table-extendable-dining-table?variant=45311395889451,0,5,6.8,0.0,2,extendable scandinavian dining table,product,scandinavian-dining-table-extendable-dining-table?variant=45311395889451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-01,2026-03-08
/products/scandinavian-dining-table-extendable-dining-table?variant=45934517322027,0,32,7.4,0.0,13,dining table,product,scandinavian-dining-table-extendable-dining-table?variant=45934517322027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-01,2026-03-08
/products/scandinavian-dining-table-extendable-dining-table?variant=45934517289259,0,6,4.0,0.0,2,scandinavian extendable dining table,product,scandinavian-dining-table-extendable-dining-table?variant=45934517289259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-01,2026-03-08
/products/scandinavian-dining-table-extendable-dining-table?variant=45311396643115,0,12,4.5,0.0,3,extendable scandinavian dining table,product,scandinavian-dining-table-extendable-dining-table?variant=45311396643115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-01,2026-03-08
